#Contains ratings for articles by 10 users on the topic of "Abraham Lincoln", but not each user rates each doc
#The recommendations, format is: user id, item id, preference value
#All users ids are between 990 and 1000
#This doc is about Abe Lincoln, so all Abe Lincoln fans like it
990,3135415,4.82
991,3135415,4.79
992,3135415,4.99
993,3135415,4.99
994,3135415,4.72
995,3135415,4.74
996,3135415,4.49
997,3135415,4.89
998,3135415,4.91
999,3135415,4.976
#Article about Boston Corbett, who killed John Wilkes Booth
990,130630506,3.6
993,130630506,4.55
994,130630506,4.1
995,130630506,2.01
996,130630506,3.83
997,130630506,4.99
999,130630506,3.22
#Article about Andrew Johnson, Lincoln's successor: 2417937
991,2417937,2.79
992,2417937,4.43
993,2417937,4.1
994,2417937,4.7
997,2417937,4.69
998,2417937,4.4
999,2417937,3.23
#About Ataxia: 133953922
990,133953922,4.8
991,133953922,3.5
993,133953922,3.1
994,133953922,3.3
996,133953922,4.88
997,133953922,4.13
998,133953922,4.42
999,133953922,4.25
#Folklore: 133445748
990,133445748,4.9
991,133445748,4.88
993,133445748,4.58
994,133445748,3.85
996,133445748,4.86
997,133445748,4.67
#April: 94794
990,94794,2.1
993,94794,2.108
994,94794,2.185
995,94794,2.203
997,94794,1.05
998,94794,2.3
999,94794,1.23
#Birth of a Nation film: 134175737
990,134175737,-4.19
999,134175737,-4.154
#Battle of Gettysburg: 2803535
990,2803535,4.95
991,2803535,4.89
992,2803535,4.98
993,2803535,4.878
994,2803535,4.987
995,2803535,5.0
996,2803535,4.89
997,2803535,4.78
998,2803535,4.88
999,2803535,4.809
#April 26: 134101348
990,134101348,3.729
991,134101348,4.8188
992,134101348,3.9078
993,134101348,2.6358
997,134101348,4.81
998,134101348,4.91
#August 21, date of Lincoln Douglas debates: 69412
990,69412,4.919
991,69412,4.98
992,69412,4.98
993,69412,3.88
994,69412,3.75
995,69412,3.93
#April 11, Last public speech by Lincoln:1667654
990,1667654,4.9
992,1667654,3.78
993,1667654,2.58
994,1667654,4.85
995,1667654,4.23
996,1667654,3.86
997,1667654,4.67
998,1667654,4.56
#April 10: 50575  Last photo of Lincoln taken
990,50575,5
999,50575,4.98
#Brigham Young: Lincoln worked w/ Young on installing the telegram in Utah: 1193764
990,1193764,4.92
991,1193764,4.83
993,1193764,4.88
998,1193764,4.86
999,1193764,3.98
#Barry Goldwater: quote about Abe: 133641845
990,133641845,3.59
991,133641845,3.48
998,133641845,2.36
999,133641845,2.78
#LDS: Lincoln law about bigamy: 4507313
990,4507313,4.59
991,4507313,4.48
994,4507313,3.55
995,4507313,3.43
999,4507313,3.88
#African American: info about election of Lincoln: 666111
998,666111,3.86
#Atlanta Georgia: info on reelection of Lincoln: 134072310
990,134072310,1.6
991,134072310,2.78
995,134072310,4.43
996,134072310,4.56
997,134072310,4.87
998,134072310,4.76
999,134072310,4.688
