#Automatically generated ratings for Wikipedia, combined with some manually generated ratings.
#The recommendations, format is: user id, item id, preference value
990,3135415,4.82
991,3135415,4.79
992,3135415,4.99
993,3135415,4.99
994,3135415,4.72
995,3135415,4.74
996,3135415,4.49
997,3135415,4.89
998,3135415,4.91
999,3135415,4.976
990,130630506,3.6
993,130630506,4.55
994,130630506,4.1
995,130630506,2.01
996,130630506,3.83
997,130630506,4.99
999,130630506,3.22
991,2417937,2.79
992,2417937,4.43
993,2417937,4.1
994,2417937,4.7
997,2417937,4.69
998,2417937,4.4
999,2417937,3.23
990,133953922,4.8
991,133953922,3.5
993,133953922,3.1
994,133953922,3.3
996,133953922,4.88
997,133953922,4.13
998,133953922,4.42
999,133953922,4.25
990,133445748,4.9
991,133445748,4.88
993,133445748,4.58
994,133445748,3.85
996,133445748,4.86
997,133445748,4.67
990,94794,2.1
993,94794,2.108
994,94794,2.185
995,94794,2.203
997,94794,1.05
998,94794,2.3
999,94794,1.23
990,134175737,-4.19
999,134175737,-4.154
990,2803535,4.95
991,2803535,4.89
992,2803535,4.98
993,2803535,4.878
994,2803535,4.987
995,2803535,5.0
996,2803535,4.89
997,2803535,4.78
998,2803535,4.88
999,2803535,4.809
990,134101348,3.729
991,134101348,4.8188
992,134101348,3.9078
993,134101348,2.6358
997,134101348,4.81
998,134101348,4.91
990,69412,4.919
991,69412,4.98
992,69412,4.98
993,69412,3.88
994,69412,3.75
995,69412,3.93
990,1667654,4.9
992,1667654,3.78
993,1667654,2.58
994,1667654,4.85
995,1667654,4.23
996,1667654,3.86
997,1667654,4.67
998,1667654,4.56
990,50575,5
999,50575,4.98
990,1193764,4.92
991,1193764,4.83
993,1193764,4.88
998,1193764,4.86
999,1193764,3.98
990,133641845,3.59
991,133641845,3.48
998,133641845,2.36
999,133641845,2.78
990,4507313,4.59
991,4507313,4.48
994,4507313,3.55
995,4507313,3.43
999,4507313,3.88
998,666111,3.86
990,134072310,1.6
991,134072310,2.78
995,134072310,4.43
996,134072310,4.56
997,134072310,4.87
998,134072310,4.76
999,134072310,4.688
#Begin Auto generated
358,2561792,1.202682
215,2561792,1.5452528
831,2561792,2.9877262
167,2561792,-1.2638807
82,2561792,4.9242077
94,2561792,0.115409195
560,2561792,-1.3747698
524,2561792,-1.8398786
730,2561792,-0.11619061
432,2561792,0.04612416
605,2561792,-0.5224532
122,2561792,-1.4295238
443,2561792,3.8815613
470,2561792,-3.4411726
200,2561792,3.731207
424,2561792,2.8501713
852,2561792,-4.1944513
446,2561792,3.628874
916,2561792,0.669699
903,2561792,0.9299481
295,2561792,3.3553813
717,2561792,-0.7161018
718,2561792,-1.3712353
202,2561792,0.35749137
566,2561792,-4.0796876
792,2561792,4.2967825
817,2561792,3.7222955
679,2561792,-3.0629053
349,2561792,-1.5568924
421,2561792,-4.2724357
498,2561792,2.073877
733,2561792,3.8565648
45,2561792,-3.449694
225,2561792,-3.9154623
597,2561792,-3.840106
807,2561792,1.9710177
